GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
campus-living-backend,com.campusliving.controller.audit,AuditLogController,4,0,0,0,1,0,1,0,1,0
campus-living-backend,com.campusliving.exception.usuario,AcessoNegadoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.usuario,EmailEmUsoException,5,0,0,0,2,0,1,0,1,0
campus-living-backend,com.campusliving.exception.usuario,VerificacaoJaPendenteException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.usuario,DocumentoInvalidoException,6,0,0,0,2,0,1,0,1,0
campus-living-backend,com.campusliving.exception.usuario,TipoContaInvalidoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.usuario,UserNotFoundException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.controller.roommate,RoommateController,55,6,2,0,9,3,6,1,5,1
campus-living-backend,com.campusliving.service.roommate,RoommateServiceImpl,51,559,30,62,13,159,28,34,0,16
campus-living-backend,com.campusliving.dto.admin,AdminModerarDenunciaRequestDTO.Acao,0,15,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.dto.notificacao,NotificacaoResponseDTO,2,41,1,1,0,8,1,2,0,2
campus-living-backend,com.campusliving.dto.roommate,RoommateMatchResponseDTO,1,36,1,1,0,9,1,1,0,1
campus-living-backend,com.campusliving.dto.roommate,PerfilRoommateResponseDTO,0,63,0,0,0,17,0,1,0,1
campus-living-backend,com.campusliving.utilities.security,SecurityConfig,0,164,0,0,0,28,0,9,0,9
campus-living-backend,com.campusliving.service.notificacao,NotificacaoService,0,69,0,2,0,19,0,8,0,7
campus-living-backend,com.campusliving.dto.usuario,UserPublicProfileDTO,0,49,0,4,0,15,0,3,0,1
campus-living-backend,com.campusliving.dto.usuario,VerificacaoLocadorResponseDTO,0,23,0,0,0,7,0,1,0,1
campus-living-backend,com.campusliving.dto.usuario,UserResponseDTO,0,39,0,0,0,11,0,1,0,1
campus-living-backend,com.campusliving.controller.avaliacao,AvaliacaoController,45,6,4,0,9,3,6,1,4,1
campus-living-backend,com.campusliving.model.notificacao,Notificacao.Tipo,0,33,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.config.security,JwtService,109,3,4,0,24,1,13,1,11,1
campus-living-backend,com.campusliving.config.security,JwtAuthenticationFilter,107,48,20,8,22,16,14,2,0,2
campus-living-backend,com.campusliving.config.security,CustomUserDetailsService,30,0,4,0,7,0,3,0,1,0
campus-living-backend,com.campusliving.config.security,OAuth2SuccessHandler,37,0,0,0,10,0,2,0,2,0
campus-living-backend,com.campusliving.model.interacao,Contato.Status,0,21,0,0,0,4,0,1,0,1
